"","Cues","Targets","Forward.Strength","Mediated.Strength"
"7579","MYSTERY","UNKNOWN",0.058,0.0025
"7580","MYSTERY","UNSOLVED",0.029,0.0012
"7581","MYTH","BELIEF",0.036,0
"7582","MYTH","FANTASY",0.031,0.0047
"7583","MYTH","LEGEND",0.194,3e-04
"7584","MYTH","REALITY",0.026,0.0029
"7585","MYTHOLOGY","GREEKS",0.287,0
"7586","MYTHOLOGY","LEGEND",0.033,0.0052
"7587","NAG","BOTHER",0.216,0.0284
"7588","NAG","COMPLAIN",0.074,0
"7589","NAG","MOTHER",0.047,0.0016
"7590","NAG","PESTER",0.027,0
"7591","NAIL","FINGER",0.122,0
"7592","NAIL","HAMMER",0.622,5e-04
"7593","NAIL","POLISH",0.071,0
"7594","NAILS","FINGER",0.285,0
"7595","NAILS","HAMMER",0.269,9e-04
"7596","NAILS","POLISH",0.069,0
"7597","NAIVE","GULLIBLE",0.101,0.0015
"7598","NAIVE","INNOCENT",0.108,0.0021
"7599","NAIVE","STUPID",0.165,0.0827
"7600","NAIVE","VULNERABLE",0.036,0
"7601","NAME","ADDRESS",0.049,0.0013
"7602","NAME","IDENTITY",0.035,3e-04
"7603","NAME","NUMBER",0.09,0.0035
"7604","NAME","PERSON",0.139,0.0067
"7605","NAPKIN","DINNER",0.067,0.0017
"7606","NAPKIN","HOLDER",0.027,0.004
"7607","NAPKIN","PAPER TOWEL",0.148,0
"7608","NARROW","BRIDGE",0.028,0
"7609","NARROW","SKINNY",0.07,0.0174
"7610","NASTY","DISGUSTING",0.031,0.0262
"7611","NATION","AMERICA",0.079,0.0905
"7612","NATION","COUNTRY",0.345,0.0733
"7613","NATION","PEOPLE",0.042,4e-04
"7614","NATION","UNITED",0.036,0.0011
"7615","NATIONAL","AMERICAN",0.041,0.0073
"7616","NATIONAL","ANTHEM",0.096,0
"7617","NATIONAL","COUNTRY",0.11,0.0252
"7618","NATIONAL","INTERNATIONAL",0.041,0
"7619","NATIVE","AMERICAN",0.132,0.0085
"7620","NATIVE","COUNTRY",0.028,0.0069
"7621","NATIVE","FLORIDIAN",0.069,0
"7622","NATIVE","FOREIGN",0.056,0.0039
"7623","NATIVE","INDIAN",0.25,0.0037
"7624","NATIVE","ORIGINAL",0.028,0
"7625","NATURAL","BEAUTY",0.04,0.003
"7626","NATURAL","DISASTER",0.027,0
"7627","NATURAL","ENVIRONMENT",0.027,0.0029
"7628","NATURAL","NATURE",0.087,0.0013
"7629","NATURAL","UNNATURAL",0.054,0
"7630","NATURE","ANIMALS",0.031,0.0034
"7631","NATURE","BEAUTY",0.031,0
"7632","NATURE","ENVIRONMENT",0.031,5e-04
"7633","NATURE","FOREST",0.054,0.0279
"7634","NATURE","OUTDOORS",0.038,8e-04
"7635","NATURE","OUTSIDE",0.031,5e-04
"7636","NATURE","WILDERNESS",0.031,0.0013
"7637","NAUSEA","HANGOVER",0.026,0
"7638","NAUSEA","STOMACH",0.032,0
"7639","NAUSEA","THROW UP",0.039,0.0368
"7640","NAUSEOUS","THROW UP",0.04,0.0159
"7641","NAVIGATOR","AIRPLANE",0.167,0.0134
"7642","NAVIGATOR","SAILOR",0.033,0
"7643","NAVY","MARINES",0.029,0.0024
"7644","NEAT","SLOPPY",0.06,0.0215
"7645","NECESSARY","IMPORTANT",0.055,0.0026
"7646","NECESSARY","REQUIRE",0.062,0
"7647","NECESSARY","UNNECESSARY",0.041,0
"7648","NECK","COLLAR",0.036,0.002
"7649","NECK","NECKLACE",0.073,7e-04
"7650","NECK","SHOULDER",0.048,0.007
"7651","NECK","THROAT",0.091,0
"7652","NECKLACE","BRACELET",0.154,5e-04
"7653","NECKLACE","DIAMOND",0.084,0.0253
"7654","NECKLACE","EARRING",0.028,0.0086
"7655","NECKLACE","JEWELRY",0.07,0.0444
"7656","NEED","NECESSITY",0.027,0
"7657","NEEDLE","HAYSTACK",0.03,0
"7658","NEEDLE","THREAD",0.424,0.0314
"7659","NEEDY","DEPENDENT",0.054,0
"7660","NEEDY","HELPLESS",0.074,0
"7661","NEEDY","HOMELESS",0.081,0
"7662","NEGATIVE","PESSIMISM",0.027,0
"7663","NEGATIVE","POSITIVE",0.603,7e-04
"7664","NEGLECT","FORGET",0.093,0.0117
"7665","NEGLECT","IGNORE",0.214,0.0049
"7666","NEGOTIATION","AGREEMENT",0.034,0.0127
"7667","NEGOTIATION","BARGAIN",0.027,0.0032
"7668","NEGOTIATION","BUSINESS",0.034,0.0013
"7669","NEGOTIATION","COMPROMISE",0.122,0
"7670","NEGOTIATION","CONTRACT",0.041,0.0065
"7671","NEGOTIATION","DISCUSS",0.027,0.0023
"7672","NEGOTIATION","MEETING",0.034,0
"7673","NEIGHBOR","FRIEND",0.507,0.0023
"7674","NEIGHBOR","NEIGHBORHOOD",0.14,0
"7675","NEIGHBOR","NEXT DOOR",0.067,0
"7676","NEIGHBORHOOD","CHILDREN",0.04,0.004
"7677","NEIGHBORHOOD","COMMUNITY",0.034,0
"7678","NEIGHBORHOOD","FAMILY",0.027,0.0217
"7679","NEIGHBORHOOD","FRIENDLY",0.027,9e-04
"7680","NEIGHBORHOOD","FRIENDS",0.06,6e-04
"7681","NEIGHBORHOOD","NEIGHBOR",0.034,0
"7682","NEIGHBORHOOD","PEOPLE",0.034,0.0079
"7683","NEIGHBORHOOD","STREET",0.034,0.0011
"7684","NEPHEW","COUSIN",0.068,0.0211
"7685","NEPHEW","FAMILY",0.034,0.0159
"7686","NEPHEW","RELATIVE",0.048,0.0512
"7687","NEPTUNE","JUPITER",0.033,0.0154
"7688","NEPTUNE","PLANET",0.399,0.0812
"7689","NERD","GLASSES",0.146,0
"7690","NERVE","CENTER",0.03,7e-04
"7691","NERVE","ENDING",0.139,0
"7692","NERVE","IMPULSE",0.036,1e-04
"7693","NERVE","NEURON",0.036,0
"7694","NERVE","SYSTEM",0.048,6e-04
"7695","NERVES","ANNOYING",0.029,0
"7696","NERVES","ANXIOUS",0.043,0.0027
"7697","NERVES","ENDING",0.036,0
"7698","NERVES","NERVOUS",0.029,0.0256
"7699","NERVES","NEURONS",0.029,0
"7700","NERVES","SCARED",0.043,0.0072
"7701","NERVES","STRESS",0.071,0.0018
"7702","NERVOUS","ANXIOUS",0.062,0.0016
"7703","NERVOUS","SCARED",0.151,0.0064
"7704","NERVOUS","STRESS",0.027,0.0056
"7705","NERVOUS","SYSTEM",0.027,0
"7706","NET","BASKETBALL",0.055,0.006
"7707","NET","TENNIS",0.041,0.0012
"7708","NET","VOLLEYBALL",0.089,0
"7709","NET","WEIGHT",0.034,0.0068
"7710","NETWORK","COMPUTER",0.101,0.0024
"7711","NETWORK","INTERNET",0.027,0
"7712","NETWORK","TELEVISION",0.547,0.0153
"7713","NEURON","ELECTRICITY",0.028,0
"7714","NEURON","ELECTRON",0.083,0
"7715","NEURON","PROTEIN",0.125,0
"7716","NEURON","SCIENCE",0.049,0.0121
"7717","NEUTRAL","MIDDLE",0.142,0.0037
"7718","NEUTRAL","SWITZERLAND",0.034,0
"7719","NEUTRON","CHEMISTRY",0.033,0.0294
"7720","NEUTRON","ELECTRON",0.2,0.033
"7721","NEUTRON","NEUTRAL",0.027,0
"7722","NEUTRON","PROTON",0.207,0.0375
"7723","NEUTRON","SCIENCE",0.067,0.0417
"7724","NEVER","ALWAYS",0.408,0.032
"7725","NEVER","SOMETIMES",0.035,0.0114
"7726","NEW","UNUSED",0.034,0
"7727","NEW YEAR","BEGINNING",0.081,0
"7728","NEW YEAR","CELEBRATION",0.054,8e-04
"7729","NEW YEAR","CHRISTMAS",0.054,0.0117
"7730","NEW YEAR","HOLIDAY",0.034,0.0079
"7731","NEW YEAR","JANUARY",0.088,0
"7732","NEW YEAR","OLD YEAR",0.027,0
"7733","NEW YEAR","RESOLUTION",0.027,0
"7734","NEW YORK","BIG APPLE",0.148,0
"7735","NEWS","INFORMATION",0.103,8e-04
"7736","NEWS","LETTER",0.034,0
"7737","NEWS","TELEVISION",0.11,0.0067
"7738","NEWSPAPER","ARTICLE",0.127,0.0119
"7739","NEWSPAPER","INFORMATION",0.041,0.011
"7740","NEWSPAPER","MAGAZINE",0.112,0.0178
"7741","NEWSPAPER","TRIBUNE",0.046,0
"7742","NEWSSTAND","MAGAZINE",0.136,0.024
"7743","NEWSSTAND","NEWSPAPER",0.214,0.0091
"7744","NEWTON","COOKIE",0.026,0.0068
"7745","NEWTON","PHYSICS",0.066,5e-04
"7746","NEWTON","SCIENCE",0.053,0.0209
"7747","NEWTON","SCIENTIST",0.059,0.0018
"7748","NICE","FRIENDLY",0.034,0.002
"7749","NICE","PEOPLE",0.041,0.0021
"7750","NICE","PLEASANT",0.048,5e-04
"7751","NICKEL","QUARTER",0.056,0.0689
"7752","NICKEL","SILVER",0.049,0.0022
"7753","NICOTINE","ADDICTION",0.072,0.0034
"7754","NICOTINE","CIGARETTE",0.525,0.0553
"7755","NIECE","COUSIN",0.033,0.049
"7756","NIECE","NEPHEW",0.658,0.0013
"7757","NIECE","RELATIVE",0.039,0.0527
"7758","NIGHTGOWN","LINGERIE",0.076,0.0052
"7759","NIGHTGOWN","PAJAMAS",0.139,0.0036
"7760","NIGHTMARE","ELM STREET",0.144,0
"7761","NIGHTMARE","FREDDY KRUGER",0.046,0
"7762","NINE","NUMBER",0.145,0.0698
"7763","NITROGEN","CHEMICAL",0.046,0.0075
"7764","NITROGEN","CHEMISTRY",0.053,0.0124
"7765","NITROGEN","DIOXIDE",0.026,0
"7766","NITROGEN","ELEMENT",0.033,0.0034
"7767","NITROGEN","HYDROGEN",0.066,0.0252
"7768","NITROGEN","OXYGEN",0.146,0.0258
"7769","NITROGEN","PEROXIDE",0.073,0.0154
"7770","NO","NEGATIVE",0.036,4e-04
"7771","NO","REFUSE",0.029,0
"7772","NOISE","SILENCE",0.038,0.0041
"7773","NOISY","CHILDREN",0.036,0
"7774","NOMAD","DESERT",0.046,0.0072
"7775","NOMAD","INDIAN",0.033,0
"7776","NOMAD","TRAVELER",0.059,0
"7777","NOMAD","WANDERER",0.178,0
"7778","NONE","NOTHING",0.095,0.0683
"7779","NONSENSE","FOOLISH",0.027,0
"7780","NONSENSE","RIDICULOUS",0.054,0
"7781","NONSENSE","STUPID",0.149,0.0418
"7782","NOODLES","CHEESE",0.039,0.0197
"7783","NOODLES","CHICKEN",0.052,0.0243
"7784","NOODLES","MACARONI",0.033,0
"7785","NOODLES","OODLES",0.039,0
"7786","NOODLES","SPAGHETTI",0.235,0.0368
"7787","NOON","MIDNIGHT",0.107,0.0029
"7788","NOON","SUNSHINE",0.133,0
"7789","NOON","TWELVE",0.147,0
"7790","NORM","ABNORMAL",0.056,0.0331
"7791","NORM","AVERAGE",0.173,0.0101
"7792","NORM","NORMAL",0.096,0.0638
"7793","NORM","REGULAR",0.03,0.0147
"7794","NORM","SOCIETY",0.036,0.0012
"7795","NORM","STANDARD",0.041,1e-04
"7796","NORMAL","ABNORMAL",0.34,0.0024
"7797","NORMAL","AVERAGE",0.069,0.0032
"7798","NORMAL","REGULAR",0.083,0.0029
"7799","NORMAL","STRANGE",0.042,0.0708
"7800","NORMAL","UNUSUAL",0.028,0.0155
"7801","NOSE","NOSTRIL",0.034,0
"7802","NOSY","ANNOYING",0.033,6e-04
"7803","NOSY","BUSYBODY",0.059,0
"7804","NOSY","CURIOUS",0.059,0
"7805","NOSY","GOSSIP",0.033,0
"7806","NOSY","NEIGHBORS",0.052,0
"7807","NOSY","PERSON",0.033,0.0021
"7808","NOT","NEGATIVE",0.033,0.0094
"7809","NOT","WAYNE'S WORLD",0.053,0
"7810","NOTE","LETTER",0.299,0.0116
"7811","NOTE","MESSAGE",0.09,0
"7812","NOTEBOOK","FOLDER",0.034,0.0044
"7813","NOTEBOOK","PENCIL",0.054,0.0699
"7814","NOTEBOOK","SCHOOL",0.163,0.0267
"7815","NOTEBOOK","SPIRAL",0.041,0
"7816","NOTES","LETTERS",0.062,0.0041
"7817","NOTES","NOTEBOOK",0.034,0
"7818","NOTES","SCHOOL",0.062,0.0483
"7819","NOTES","WRITING",0.055,0
"7820","NOTHING","ANYTHING",0.027,0.0478
"7821","NOTHING","EVERYTHING",0.082,0.0138
"7822","NOTHING","SOMETHING",0.163,0.0043
"7823","NOTICE","ATTENTION",0.071,2e-04
"7824","NOTICE","BULLETIN",0.056,0
"7825","NOTICE","LETTER",0.032,0.0016
"7826","NOTICE","OBSERVE",0.04,0.0023
"7827","NOTICE","PERCEIVE",0.048,0.0014
"7828","NOTICE","WARNING",0.048,0
"7829","NOTIFY","CONTACT",0.058,0
"7830","NOTIFY","INFORM",0.115,0.0072
"7831","NOTION","FEELING",0.027,0
"7832","NOTION","THOUGHT",0.115,0.2153
"7833","NOUN","ADJECTIVE",0.038,0.0251
"7834","NOUN","PRONOUN",0.109,0.0105
"7835","NOVICE","AMATEUR",0.053,0.0159
"7836","NOVICE","BEGINNER",0.283,0.0093
"7837","NOVICE","EXPERT",0.086,0.0053
"7838","NOW","IMMEDIATE",0.028,8e-04
"7839","NOW","INSTANT",0.028,0
"7840","NUCLEAR","WEAPON",0.046,0
"7841","NUCLEUS","CENTER",0.237,0.0055
"7842","NUCLEUS","MEMBRANE",0.033,0
"7843","NUCLEUS","MIDDLE",0.046,0.1024
"7844","NUCLEUS","PROTON",0.033,0.0075
"7845","NUCLEUS","SCIENCE",0.053,0.017
"7846","NUMBER","AMOUNT",0.027,0
"7847","NUMBER","LETTER",0.176,3e-04
"7848","NUMBERS","DIGITS",0.027,0
"7849","NUMBERS","LETTERS",0.288,0.0015
"7850","NUMEROUS","NUMBERS",0.074,0
"7851","NUMEROUS","PEOPLE",0.027,0.0278
"7852","NUMEROUS","PLENTY",0.027,0.008
"7853","NUN","CATHOLIC",0.048,0.0132
"7854","NUN","CHURCH",0.131,0.1434
"7855","NUN","CONVENT",0.034,0
"7856","NUN","FATHER",0.034,0.0116
"7857","NUN","PRIEST",0.331,0.0108
"7858","NUN","SISTER",0.062,0
"7859","NURSE","DOCTOR",0.547,0.0219
"7860","NURSE","HOSPITAL",0.15,0.0123
"7861","NURSE","MEDICINE",0.036,0.0363
"7862","NURSERY","CHILDREN",0.133,0.0156
"7863","NURSERY","FLOWER",0.033,6e-04
"7864","NURSERY","PLANTS",0.1,0
"7865","NURSERY","SCHOOL",0.047,0.0027
"7866","NUT","ALMOND",0.027,0.0026
"7867","NUT","CASHEW",0.048,0.001
"7868","NUT","CRACKER",0.062,0
"7869","NUT","PEANUT",0.075,0.0188
"7870","NUT","SQUIRREL",0.082,0.002
"7871","NUT","WALNUT",0.041,0
"7872","NUTS","ALMOND",0.036,0.0013
"7873","NUTS","CASHEW",0.064,0.0015
"7874","NUTS","PEANUT",0.107,0.0126
"7875","NUTS","PLANTERS",0.071,0
"7876","NUTS","RAISIN",0.143,0
"7877","NYLON","FABRIC",0.027,0.0044
"7878","NYLON","MATERIAL",0.027,0.0088
"7879","NYLON","STOCKING",0.265,0.0013
"7880","NYLONS","PANTYHOSE",0.191,0.0013
"7881","NYLONS","STOCKINGS",0.263,0
"7882","OAR","PADDLE",0.085,0.0036
"7883","OASIS","DESERT",0.254,0.005
"7884","OASIS","ISLAND",0.072,0.0117
"7885","OASIS","PARADISE",0.029,0.0029
"7886","OATH","OFFICE",0.034,0
"7887","OATH","PLEDGE",0.048,5e-04
"7888","OATH","PROMISE",0.218,0.0195
"7889","OATMEAL","BREAKFAST",0.171,0.0613
"7890","OATMEAL","CEREAL",0.184,0.0115
"7891","OATMEAL","COOKIE",0.059,0
"7892","OATMEAL","MORNING",0.026,0.0116
"7893","OATMEAL","QUAKER",0.059,0
"7894","OATMEAL","RAISINS",0.039,0
"7895","OATS","BARLEY",0.067,0.0152
"7896","OATS","BREAKFAST",0.027,0.047
"7897","OATS","CEREAL",0.1,0.0351
"7898","OATS","OATMEAL",0.08,0.0041
"7899","OBEY","COMMAND",0.14,0
"7900","OBEY","DISOBEY",0.112,0
"7901","OBEY","FOLLOW",0.098,0.0011
"7902","OBEY","LISTEN",0.119,0
"7903","OBEY","MARRIAGE",0.028,0
"7904","OBEY","PARENTS",0.056,0
"7905","OBJECT","SOMETHING",0.027,0.0115
"7906","OBJECT","SUBJECT",0.054,0
"7907","OBJECTIVE","COURSE",0.026,0
"7908","OBJECTIVE","PURPOSE",0.058,0
"7909","OBJECTIVE","SUBJECTIVE",0.084,0
"7910","OBLIGATION","APPOINTMENT",0.041,0
"7911","OBLIGATION","COMMITMENT",0.11,0.0043
"7912","OBLIGATION","HAVE TO",0.027,0
"7913","OBLIGATION","PROMISE",0.048,0.008
"7914","OBLIGATION","RESPONSIBILITY",0.123,0.0096
"7915","OBNOXIOUS","ANNOYING",0.097,0.0067
"7916","OBNOXIOUS","IRRITATING",0.026,0.0083
"7917","OBNOXIOUS","SNOTTY",0.026,0.0012
"7918","OBOE","CLARINET",0.072,0.0138
"7919","OBOE","INSTRUMENT",0.184,0.0528
"7920","OBOE","WOODWIND",0.026,0
"7921","OBSCURE","HIDDEN",0.049,0
"7922","OBSCURE","STRANGE",0.042,0.0177
"7923","OBSCURE","UNCLEAR",0.035,0.0015
"7924","OBSESSION","COLOGNE",0.082,0.0301
"7925","OBSESSION","COMPULSIVE",0.027,0
"7926","OBSESSION","DESIRE",0.041,0.0106
"7927","OBSESSION","INFATUATION",0.041,0
"7928","OBSESSION","PASSION",0.041,0.004
"7929","OBSESSION","PERFUME",0.136,0.0383
"7930","OBSESSION","POSSESSED",0.061,0
"7931","OBSTACLE","AROUND",0.027,0
"7932","OBSTACLE","BARRIER",0.08,5e-04
"7933","OBSTACLE","COURSE",0.14,0
"7934","OBSTACLE","HURDLE",0.067,0
"7935","OBSTACLE","OVERCOME",0.053,0
"7936","OBTAIN","RECEIVE",0.055,0.062
"7937","OBVIOUS","APPARENT",0.089,0
"7938","OBVIOUS","HIDDEN",0.048,0.0013
"7939","OCCUPATION","CAREER",0.034,0.0109
"7940","OCCUPATION","DOCTOR",0.028,0
"7941","OCCUPIED","BATHROOM",0.087,0.0106
"7942","OCCUPIED","FILLED",0.027,0
"7943","OCCUPIED","VACANCY",0.06,0
"7944","OCEAN","ATLANTIC",0.03,0
"7945","OCTOPUS","TENTACLES",0.041,0
"7946","ODD","DIFFERENT",0.061,0.0107
"7947","ODD","STRANGE",0.116,0.0304
"7948","ODDS","AGAINST",0.053,0
"7949","ODDS","CHANCE",0.033,4e-04
"7950","OFFEND","DEFEND",0.078,0
"7951","OFFEND","INSULT",0.094,9e-04
"7952","OFFENSE","DEFENSE",0.638,0
"7953","OFFENSE","FOOTBALL",0.132,0.0396
"7954","OFFICE","BUILDING",0.076,0.0015
"7955","OFFICE","BUSINESS",0.028,0.0029
"7956","OFFICE","SECRETARY",0.056,0.0026
"7957","OFFICER","GENTLEMAN",0.081,0
"7958","OFFICER","POLICE",0.466,0.054
"7959","OFFICIAL","DOCUMENT",0.075,0
"7960","OFFICIAL","GOVERNMENT",0.048,0.0029
"7961","OFFICIAL","IMPORTANT",0.027,0.004
"7962","OFFICIAL","POLICE",0.075,0.0311
"7963","OFFICIAL","PRESIDENT",0.034,0.0025
"7964","OFFICIAL","REFEREE",0.096,6e-04
"7965","OFTEN","ALWAYS",0.063,0.0769
"7966","OFTEN","FREQUENT",0.154,0
"7967","OFTEN","SELDOM",0.049,0.0032
"7968","OFTEN","SOMETIMES",0.028,0.0064
"7969","OIL","CHANGE",0.041,0
"7970","OIL","GREASE",0.101,0.0068
"7971","OIL","LUBRICATE",0.034,0.0027
"7972","OINTMENT","LOTION",0.045,0
"7973","OINTMENT","MEDICINE",0.156,0.0032
"7974","OINTMENT","NEOSPORIN",0.026,0
"7975","OKAY","ALRIGHT",0.262,0
"7976","OLD","ANCIENT",0.041,0
"7977","OLD","WRINKLE",0.034,0
"7978","OLIGARCHY","GOVERNMENT",0.073,0.0063
"7979","OLIGARCHY","MONARCHY",0.066,3e-04
"7980","OLIVE","BRANCH",0.054,9e-04
"7981","OLIVE","MARTINI",0.034,0
"7982","OLYMPICS","ATHLETE",0.087,0.0045
"7983","OLYMPICS","COMPETITION",0.033,0
"7984","OLYMPICS","GYMNASTICS",0.027,0
"7985","OLYMPICS","SPORTS",0.147,0.0018
"7986","OMELET","BREAKFAST",0.029,0.0284
"7987","OMELET","CHEESE",0.071,0
"7988","ONCE","UPON A TIME",0.054,0
"7989","ONE","NUMBER",0.054,0.0478
"7990","ONE","SINGLE",0.101,7e-04
"7991","ONION","GARLIC",0.081,9e-04
"7992","ONION","PEPPER",0.047,0.0031
"7993","OODLES","BUNCHES",0.032,0
"7994","OODLES","NOODLES",0.455,0
"7995","OPENING","CLOSING",0.507,0
"7996","OPERA","BORING",0.076,0
"7997","OPERA","FAT LADY",0.056,0
"7998","OPERA","PHANTOM",0.028,0
"7999","OPERA","SINGER",0.16,0.0018
"8000","OPERATE","CONTROL",0.068,0
"8001","OPERATE","DOCTOR",0.068,0.0228
"8002","OPERATE","MACHINE",0.041,6e-04
"8003","OPERATE","SURGEON",0.027,0.0043
"8004","OPERATE","SURGERY",0.062,0.0025
"8005","OPERATE","TELEPHONE",0.034,0
"8006","OPERATION","DOCTOR",0.101,0.0356
"8007","OPERATION","HOSPITAL",0.061,0.0087
"8008","OPERATION","SURGEON",0.027,0.0068
"8009","OPERATION","SURGERY",0.196,0.0011
"8010","OPERATOR","CONTROL",0.041,0.0015
"8011","OPERATOR","DRIVER",0.041,0
"8012","OPERATOR","SMOOTH",0.027,0
"8013","OPERATOR","TELEPHONE",0.25,0.0013
"8014","OPERATOR","WORKER",0.034,0
"8015","OPINION","BELIEF",0.041,0
"8016","OPINION","CHOICE",0.041,2e-04
"8017","OPINION","FEELING",0.051,0.0011
"8018","OPINION","REASON",0.026,0
"8019","OPINION","THOUGHT",0.143,0.0467
"8020","OPPONENT","ADVERSARY",0.027,0.0044
"8021","OPPONENT","CHALLENGE",0.047,3e-04
"8022","OPPONENT","OPPOSITE",0.047,3e-04
"8023","OPPONENT","PLAYER",0.027,0.0019
"8024","OPPONENT","SPORTS",0.027,0
"8025","OPPORTUNITY","ADVANTAGE",0.043,0
"8026","OPPORTUNITY","CHANCE",0.25,0
"8027","OPPOSITE","ATTRACT",0.074,0
"8028","OPPOSITE","CONTRARY",0.027,0
"8029","OPPOSITE","DIFFERENT",0.148,0.2009
"8030","OPPOSITE","NEGATIVE",0.027,0.0081
"8031","OPTIMISTIC","HOPEFUL",0.047,0
"8032","OPTIMISTIC","PESSIMISTIC",0.255,0
"8033","OPTIMISTIC","POSITIVE",0.04,0
"8034","OPTION","CHOICE",0.635,0.0124
"8035","OPTION","CHOOSE",0.041,0.0457
"8036","ORANGE","CITRUS",0.031,0
"8037","ORANGE","FLORIDA",0.031,0
"8038","ORANGE","TANGERINE",0.051,0
"8039","ORANGE JUICE","APPLE JUICE",0.054,0
"8040","ORANGE JUICE","BREAKFAST",0.107,0
"8041","ORANGE JUICE","FLORIDA",0.054,0.0023
"8042","ORANGE JUICE","GRAPEFRUIT",0.034,0
"8043","ORANGE JUICE","MORNING",0.04,0.0073
"8044","ORANGE JUICE","ORANGE",0.074,0.0219
"8045","ORANGE JUICE","VITAMIN",0.034,0
"8046","ORANGE JUICE","VITAMIN C",0.04,0
"8047","ORCHARD","FLOWER",0.152,0.0042
"8048","ORCHARD","ORANGE",0.139,0.1088
"8049","ORCHESTRA","CONDUCTOR",0.052,0
"8050","ORCHESTRA","SYMPHONY",0.093,7e-04
"8051","ORCHESTRA","VIOLIN",0.144,0.0036
"8052","ORCHID","FLOWER",0.73,0.0047
"8053","ORCHID","PURPLE",0.056,0
"8054","ORDER","ORGANIZE",0.029,0.0012
"8055","ORDER","RESTAURANT",0.029,0.0032
"8056","ORDERLY","DISORDERLY",0.041,0
"8057","ORDERLY","FASHION",0.047,0
"8058","ORDERLY","HOSPITAL",0.115,0.0146
"8059","ORDERLY","ORGANIZED",0.074,0
"8060","ORDINARY","BORING",0.048,0.0192
"8061","ORDINARY","COMMON",0.097,9e-04
"8062","ORDINARY","DIFFERENT",0.034,0.0259
"8063","ORDINARY","EXTRAORDINARY",0.034,0
"8064","ORDINARY","NORMAL",0.131,0.0137
"8065","ORDINARY","PEOPLE",0.103,0.0071
"8066","ORDINARY","REGULAR",0.028,0.0139
"8067","OREGANO","ITALIAN",0.039,0.0113
"8068","OREGANO","SEASONING",0.039,0.0175
"8069","OREGANO","SPAGHETTI",0.105,0.0147
"8070","ORGAN","CHURCH",0.028,0
"8071","ORGAN","TISSUE",0.028,0
"8072","ORGANIZATION","PEOPLE",0.027,0.0526
"8073","ORGANIZATION","TOGETHER",0.041,0.0053
"8074","ORGANIZE","DISORGANIZED",0.028,0
"8075","ORGANIZE","STRAIGHTEN",0.034,0
"8076","ORIENT","CHINESE",0.033,0.002
"8077","ORIENT","EXPRESS",0.087,0
"8078","ORIENT","FAMILIAR",0.04,0
"8079","ORIENT","FOREIGN",0.027,7e-04
"8080","ORIGINAL","UNIQUE",0.093,0.0027
"8081","ORIGINATE","BEGINNING",0.044,0.0012
"8082","ORIGINATE","CREATE",0.044,0.0023
"8083","ORIGINATE","ORIGINAL",0.056,4e-04
"8084","ORNAMENT","CHRISTMAS",0.426,0.0106
"8085","ORNAMENT","CHRISTMAS TREE",0.074,0
"8086","ORNAMENT","DECORATION",0.095,0
"8087","ORTHODONTIST","BRACES",0.25,0.0205
"8088","ORTHODONTIST","DENTIST",0.142,0.025
"8089","ORTHODONTIST","DOCTOR",0.041,0.0304
"8090","OTHER","ANOTHER",0.083,0
"8091","OTHER","DIFFERENT",0.152,0.0361
"8092","OTHER","OPPOSITE",0.03,0.0052
"8093","OTHER","PERSON",0.053,0.0111
"8094","OTTER","ANIMAL",0.207,0.0367
"8095","OTTER","BEAVER",0.093,0
"8096","OTTER","SEA LION",0.033,0
"8097","OUNCE","MEASURE",0.061,0.0048
"8098","OUNCE","WEIGHT",0.061,0.097
"8099","OUT FOX","CLEVER",0.033,0.004
"8100","OUT FOX","OUT SMART",0.122,0
"8101","OUT FOX","OUTWIT",0.083,0
"8102","OUT FOX","SMARTER",0.028,0
"8103","OUTCOME","CONCLUSION",0.034,0.0185
"8104","OUTCOME","FINISH",0.076,0.0502
"8105","OUTCOME","RESULT",0.228,0
"8106","OUTDOORS","CAMPING",0.099,5e-04
"8107","OUTDOORS","INDOORS",0.224,3e-04
"8108","OUTDOORS","INSIDE",0.026,0.0322
"8109","OUTFIT","CLOTHES",0.543,0.0276
"8110","OUTFIT","MATCHING",0.026,0
"8111","OUTGOING","EXTROVERT",0.041,0
"8112","OUTGOING","FRIENDLY",0.143,0.0035
"8113","OUTGOING","INCOMING",0.027,0
"8114","OUTGOING","PERSONALITY",0.027,0
"8115","OUTGOING","SOCIABLE",0.027,0
"8116","OUTLAW","BANDIT",0.079,0
"8117","OUTLAW","COWBOY",0.079,4e-04
"8118","OUTLAW","CRIMINAL",0.143,0.0288
"8119","OUTLAW","FUGITIVE",0.043,0.0019
"8120","OUTLAW","ILLEGAL",0.029,6e-04
"8121","OUTLAW","ROBBER",0.043,0.0334
"8122","OUTLAW","SHERIFF",0.029,0.0011
"8123","OUTLAW","VILLAIN",0.057,3e-04
"8124","OUTLAW","WANTED",0.029,6e-04
"8125","OUTLET","ELECTRICITY",0.164,0.0296
"8126","OUTLET","SOCKET",0.053,0.0264
"8127","OUTLINE","CHAPTER",0.075,9e-04
"8128","OUTLINE","HIGHLIGHT",0.027,0
"8129","OUTLINE","REPORT",0.041,0.001
"8130","OUTLINE","SKETCH",0.041,0.0018
"8131","OUTLINE","SUMMARY",0.054,0.0059
"8132","OUTRAGEOUS","EXCITING",0.027,0
"8133","OUTRAGEOUS","FORTUNE",0.033,0
"8134","OUTRAGEOUS","INCREDIBLE",0.033,0
